id,term,n_words,has_source_link,has_article_link,has_other_link,region,journal
29059864,autism,87,,,,,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference
29058983,autism,36,,,,,Autism : the international journal of research and practice
29058782,autism,75,,,,,Child development
29058593,autism,139,,,,,BMC psychiatry
29057625,autism,94,,,,,Developmental neurobiology
29057566,autism,150,,,,,The European journal of neuroscience
29057543,autism,142,,,,,The European journal of neuroscience
29057532,autism,156,,,,,The European journal of neuroscience
29057009,autism,159,,,,,Research in autism spectrum disorders
29056847,autism,100,,,,,Early childhood education journal
29056086,autism,134,,,,,Canadian journal of psychiatry. Revue canadienne de psychiatrie
29055254,autism,115,,,,,Psychiatry research
29054881,autism,166,,,,,The Journal of neuroscience : the official journal of the Society for Neuroscience
29054552,autism,72,,,,,Frontiers in neuroendocrinology
29054073,autism,106,,,,,Journal of communication disorders
29054034,autism,29,,,,,Infant behavior & development
29054024,autism,71,,,,,Research in developmental disabilities
29053976,autism,132,,,,,Journal of affective disorders
29053124,autism,234,,,,,Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova
29052934,autism,149,,,,,"Genes, brain, and behavior"
29052841,autism,184,,,,,"Journal of child psychology and psychiatry, and allied disciplines"
29052838,autism,154,,,,,"Journal of child psychology and psychiatry, and allied disciplines"
29052806,autism,72,,,,,Journal of autism and developmental disorders
29052463,autism,83,,,,,Child neuropsychology : a journal on normal and abnormal development in childhood and adolescence
29052364,autism,175,,,,,Autism research : official journal of the International Society for Autism Research
29052348,autism,134,,,,,Autism research : official journal of the International Society for Autism Research
29052014,autism,149,,,,,European child & adolescent psychiatry
29051774,autism,159,,,,,Child and adolescent psychiatry and mental health
29051601,autism,114,,,,,Scientific reports
29051506,autism,110,,,,,Scientific reports
29049464,autism,215,,,,,JAMA neurology
29048417,autism,121,,,,,Genetics in medicine : official journal of the American College of Medical Genetics
29048365,autism,143,,,,,Journal of clinical medicine
29048245,autism,93,,,,,"Journal of clinical child and adolescent psychology : the official journal for the Society of Clinical Child and Adolescent Psychology, American Psychological Association, Division 53"
29048234,autism,148,,,,,"Journal of clinical child and adolescent psychology : the official journal for the Society of Clinical Child and Adolescent Psychology, American Psychological Association, Division 53"
29048191,autism,78,,,,,Experimental and clinical psychopharmacology
29046483,autism,119,,,,,JCI insight
29046268,autism,145,,,,,JMIR research protocols
29046132,autism,122,,,,,Nutritional neuroscience
29045959,autism,164,,,,,Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences
29045836,autism,76,,,,,Cell reports
29045584,autism,121,,,,,"Cerebral cortex (New York, N.Y. : 1991)"
29045575,autism,135,,,,,"Cerebral cortex (New York, N.Y. : 1991)"
29045458,autism,105,,,,,PloS one
29045040,autism,179,,,,,Autism research : official journal of the International Society for Autism Research
29043919,autism,145,,,,,Paediatrics and international child health
29043156,autism,117,,,,,World journal of psychiatry
29042895,autism,118,,,,,Psychiatry investigation
29042783,autism,111,,,,,Neuropsychiatric disease and treatment
29042781,autism,129,,,,,Neuropsychiatric disease and treatment
29042641,autism,120,,,,,Scientific reports
29042592,autism,118,,,,,Scientific reports
29042314,autism,95,,,,,Neuropharmacology
29042182,autism,149,,,,,Hormones and behavior
29040924,autism,113,,,,,Research in developmental disabilities
29040524,autism,149,,,,,Human molecular genetics
29040407,autism,128,,,,,"Cerebral cortex (New York, N.Y. : 1991)"
29039668,autism,95,,,,,Journal of medicinal chemistry
29039208,autism,125,,,,,Autism : the international journal of research and practice
29039174,autism,62,,,,,Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences
29038931,autism,65,,,,,Journal of autism and developmental disorders
29038930,autism,78,,,,,Journal of autism and developmental disorders
29038929,autism,66,,,,,Journal of autism and developmental disorders
29038711,autism,174,,,,,Electronic physician
29038598,autism,169,,,,,Molecular psychiatry
29038507,autism,129,,,,,Scientific reports
29038238,autism,164,,,,,The Journal of neuroscience : the official journal of the Society for Neuroscience
29038237,autism,201,,,,,The Journal of neuroscience : the official journal of the Society for Neuroscience
29037337,autism,64,,,,,Revista colombiana de psiquiatria
29037171,autism,117,,,,,BMC neuroscience
29036188,autism,85,,,,,PloS one
29036014,autism,80,,,,,Melanoma research
29035974,autism,93,,,,,Neuroreport
29035961,autism,12,,,,,JBI database of systematic reviews and implementation reports
29035307,autism,103,,,,,Brain sciences
29035187,autism,121,,,,,The Permanente journal
29034748,autism,152,,,,,"The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians"
29034696,autism,139,,,,,Autism : the international journal of research and practice
29034690,autism,82,,,,,Autism : the international journal of research and practice
29034517,autism,95,,,,,Journal of intellectual disability research : JIDR
29034499,autism,237,,,,,"Child: care, health and development"
29034353,autism,117,,,,,Biological psychiatry. Cognitive neuroscience and neuroimaging
29034163,autism,119,,,,,NeuroImage. Clinical
29034068,autism,170,,,,,Molecular autism
29033641,autism,73,,,,,Noro psikiyatri arsivi
29033484,autism,148,,,,,Indian journal of pharmacology
29033450,autism,123,,,,,Medical science monitor basic research
29033160,autism,149,,,,,The Journal of adolescent health : official publication of the Society for Adolescent Medicine
29032701,autism,158,,,,,"Psychiatric services (Washington, D.C.)"
29032480,autism,46,,,,,Journal of autism and developmental disorders
29032428,autism,116,,,,,Journal of medical systems
29032324,autism,93,,,,,Psychoneuroendocrinology
29032150,autism,160,,,,,Gene
29031410,autism,140,,,,,Biological psychiatry
29030905,autism,193,,,,,Autism research : official journal of the International Society for Autism Research
29030901,autism,213,,,,,Autism research : official journal of the International Society for Autism Research
29030735,autism,117,,,,,Child psychiatry and human development
29030525,autism,143,,,,,Pediatrics
29030434,autism,177,,,,,The Journal of neuroscience : the official journal of the Society for Neuroscience
29028947,autism,81,,,,,"Cerebral cortex (New York, N.Y. : 1991)"
29028946,autism,100,,,,,"Cerebral cortex (New York, N.Y. : 1991)"
29028941,autism,125,,,,,"Cerebral cortex (New York, N.Y. : 1991)"
29028837,autism,116,,,,,PloS one
29028817,autism,144,,,,,PloS one
29028520,autism,85,,,,,Psychiatry research
29028501,autism,101,,,,,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology
29028371,autism,57,,,,,Health communication
29028156,autism,175,,,,,Autism research : official journal of the International Society for Autism Research
29027913,autism,71,,,,,Brain sciences
29027815,autism,135,,,,,Journal of child and adolescent psychopharmacology
29027808,autism,107,,,,,Autism : the international journal of research and practice
29027744,autism,81,,,,,Stem cells translational medicine
29027643,autism,79,,,,,Journal of autism and developmental disorders
29027364,autism,143,,,,,"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics"
29027111,autism,116,,,,,Molecular neurobiology
29027068,autism,62,,,,,Journal of autism and developmental disorders
29027066,autism,80,,,,,Journal of autism and developmental disorders
29026562,autism,24,,,,,Clinical case reports
29026510,autism,200,,,,,Molecular autism
29026509,autism,199,,,,,Molecular autism
29026508,autism,113,,,,,Molecular autism
29026329,autism,81,,,,,Pharmacogenomics and personalized medicine
29026257,autism,3,,,,,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology
29025761,autism,122,,,,,Circulation. Cardiovascular genetics
29024843,autism,148,,,,,Acta psychologica
29024679,autism,97,,,,,Neuroscience and biobehavioral reviews
29024665,autism,95,,,,,Neuron
29024219,autism,157,,,,,Journal of intellectual disability research : JIDR
29024188,autism,94,,,,,Journal of sleep research
29024164,autism,152,,,,,Journal of neuroendocrinology
29023853,autism,91,,,,,Clinical endocrinology
29023760,autism,147,,,,,Australian occupational therapy journal
29023450,autism,146,,,,,PLoS computational biology
29023380,autism,153,,,,,Microorganisms
29022199,autism,76,,,,,Journal of autism and developmental disorders
29022174,autism,70,,,,,Journal of autism and developmental disorders
29022149,autism,69,,,,,Journal of autism and developmental disorders
29022130,autism,67,,,,,Journal of autism and developmental disorders
29022125,autism,81,,,,,Journal of autism and developmental disorders
29021945,autism,93,,,,,Behavior analysis in practice
29021944,autism,50,,,,,Behavior analysis in practice
29021937,autism,63,,,,,Behavior analysis in practice
29021936,autism,76,,,,,Behavior analysis in practice
29021934,autism,69,,,,,Behavior analysis in practice
29021933,autism,77,,,,,Behavior analysis in practice
29021932,autism,63,,,,,Behavior analysis in practice
29021890,autism,191,,,,,Molecular autism
29021889,autism,255,,,,,Molecular autism
29021833,autism,141,,,,,The EPMA journal
29021824,autism,81,,,,,Child and adolescent psychiatry and mental health
29021403,autism,182,,,,,Journal of medical genetics
29020804,autism,93,,,,,Autism : the international journal of research and practice
29020791,autism,98,,,,,Autism : the international journal of research and practice
29020723,autism,64,,,,,Genomics & informatics
29020636,autism,91,,,,,Cell reports
29020136,autism,117,,,,,American journal of epidemiology
29020059,autism,159,,,,,PloS one
29020056,autism,226,,,,,PloS one
29019631,autism,84,,,,,Pediatric annals
29019048,autism,85,,,,,Journal of autism and developmental disorders
29019014,autism,155,,,,,European child & adolescent psychiatry
29373121,cognition,121,,,,,Biological psychiatry
29371765,cognition,81,,,,,Indian journal of clinical biochemistry : IJCB
29370954,cognition,164,,,,,Psychoneuroendocrinology
29369295,cognition,146,,,,,Acta neurobiologiae experimentalis
29367851,cognition,177,,,,,Frontiers in psychology
29366511,cognition,134,,,,,Clinical psychology review
29362709,cognition,117,,,,,BioMed research international
29362644,cognition,146,,,,,Advances in cognitive psychology
29362511,cognition,153,,,,,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology
29361396,cognition,116,,,,,Neuromuscular disorders : NMD
29359065,cognition,80,,,,,Parkinson's disease
29358980,cognition,97,,,,,Europe's journal of psychology
29358927,cognition,162,,,,,Frontiers in psychology
29358845,cognition,136,,,,,Behavioural neurology
29358102,cognition,82,,,,,Asian journal of psychiatry
29357981,cognition,141,,,,,Biological psychiatry
29357516,cognition,139,,,,,"Journal of applied physiology (Bethesda, Md. : 1985)"
29357504,cognition,103,,,,,"Journal of applied physiology (Bethesda, Md. : 1985)"
29357473,cognition,151,,,,,Journal of neurophysiology
29356446,cognition,126,,,,,"Journal of experimental zoology. Part A, Ecological and integrative physiology"
29355372,cognition,82,,,,,Physiological research
29355103,cognition,79,,,,,Politics and the life sciences : the journal of the Association for Politics and the Life Sciences
29354625,cognition,96,,,,,Vascular specialist international
29354568,cognition,129,,,,,Annals of rehabilitation medicine
29354567,cognition,147,,,,,Annals of rehabilitation medicine
29354224,cognition,305,,,,,Dementia & neuropsychologia
29354222,cognition,257,,,,,Dementia & neuropsychologia
29354220,cognition,290,,,,,Dementia & neuropsychologia
29354215,cognition,235,,,,,Dementia & neuropsychologia
29354082,cognition,154,,,,,Frontiers in psychology
29354080,cognition,104,,,,,Frontiers in psychology
29354079,cognition,126,,,,,Frontiers in psychology
29354052,cognition,130,,,,,Frontiers in pharmacology
29354050,cognition,181,,,,,Frontiers in aging neuroscience
29354045,cognition,153,,,,,Frontiers in human neuroscience
29354042,cognition,141,,,,,Frontiers in human neuroscience
29354036,cognition,101,,,,,Frontiers in integrative neuroscience
29353630,cognition,140,,,,,European journal of oncology nursing : the official journal of European Oncology Nursing Society
29353102,cognition,104,,,,,Neurobiology of aging
29353101,cognition,124,,,,,Neurobiology of aging
29348702,cognition,116,,,,,Behavioural neurology
29348039,cognition,163,,,,,Biological psychiatry. Cognitive neuroscience and neuroimaging
29347806,cognition,113,,,,,Physical review. E
29347798,cognition,112,,,,,Physical review. E
29347589,cognition,89,,,,,Physical review. E
29347566,cognition,111,,,,,Physical review. E
29347348,cognition,144,,,,,Physical review. E
29347072,cognition,90,,,,,Physical review. E
29345875,cognition,24,,,,,The Journal of clinical psychiatry
29345633,cognition,86,,,,,Rehabilitation nursing : the official journal of the Association of Rehabilitation Nurses
29344345,cognition,27,,,,,Therapeutic advances in psychopharmacology
29342826,cognition,36,,,,,The Behavioral and brain sciences
29342818,cognition,33,,,,,The Behavioral and brain sciences
29342808,cognition,39,,,,,The Behavioral and brain sciences
29342804,cognition,34,,,,,The Behavioral and brain sciences
29342800,cognition,44,,,,,The Behavioral and brain sciences
29342762,cognition,30,,,,,The Behavioral and brain sciences
29342754,cognition,32,,,,,The Behavioral and brain sciences
29342751,cognition,33,,,,,The Behavioral and brain sciences
29342749,cognition,32,,,,,The Behavioral and brain sciences
29342720,cognition,28,,,,,The Behavioral and brain sciences
29342707,cognition,32,,,,,The Behavioral and brain sciences
29342705,cognition,34,,,,,The Behavioral and brain sciences
29342704,cognition,31,,,,,The Behavioral and brain sciences
29342694,cognition,39,,,,,The Behavioral and brain sciences
29342693,cognition,44,,,,,The Behavioral and brain sciences
29342692,cognition,47,,,,,The Behavioral and brain sciences
29342687,cognition,35,,,,,The Behavioral and brain sciences
29342684,cognition,32,,,,,The Behavioral and brain sciences
29342674,cognition,35,,,,,The Behavioral and brain sciences
29342661,cognition,28,,,,,The Behavioral and brain sciences
29342654,cognition,36,,,,,The Behavioral and brain sciences
29342653,cognition,32,,,,,The Behavioral and brain sciences
29342649,cognition,31,,,,,The Behavioral and brain sciences
29342648,cognition,60,,,,,The Behavioral and brain sciences
29342646,cognition,33,,,,,The Behavioral and brain sciences
29342644,cognition,29,,,,,The Behavioral and brain sciences
29342633,cognition,35,,,,,The Behavioral and brain sciences
29342630,cognition,32,,,,,The Behavioral and brain sciences
29342626,cognition,41,,,,,The Behavioral and brain sciences
29342574,cognition,28,,,,,The Behavioral and brain sciences
29342547,cognition,29,,,,,The Behavioral and brain sciences
29342532,cognition,39,,,,,The Behavioral and brain sciences
29342517,cognition,97,,,,,The Behavioral and brain sciences
29342511,cognition,44,,,,,The Behavioral and brain sciences
29339837,cognition,93,,,,,"Multiple sclerosis journal - experimental, translational and clinical"
29338817,cognition,180,,,,,Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae
29333240,cognition,159,,,,,F1000Research
29333178,cognition,130,,,,,Evidence-based complementary and alternative medicine : eCAM
29331824,cognition,93,,,,,Cortex; a journal devoted to the study of the nervous system and behavior
29331703,cognition,149,,,,,Journal of affective disorders
29331595,cognition,135,,,,,European psychiatry : the journal of the Association of European Psychiatrists
29331172,cognition,157,,,,,Molecular genetics and metabolism
29329741,cognition,128,,,,,Psychiatry research
29329723,cognition,136,,,,,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry
29329646,cognition,95,,,,,Chinese journal of natural medicines
29329040,cognition,108,,,,,Psychiatry research
29328963,cognition,127,,,,,Neurobiology of aging
29326936,cognition,141,,,,,Frontiers in medicine
29326685,cognition,211,,,,,Frontiers in immunology
29326645,cognition,168,,,,,Frontiers in neurology
29326637,cognition,123,,,,,Frontiers in psychology
29326620,cognition,106,,,,,Frontiers in psychology
29326617,cognition,144,,,,,Frontiers in psychology
29326577,cognition,213,,,,,Frontiers in human neuroscience
29326564,cognition,170,,,,,Frontiers in integrative neuroscience
29326553,cognition,163,,,,,Frontiers in cellular neuroscience
29326545,cognition,198,,,,,Frontiers in neuroscience
29325848,cognition,160,,,,,Biological psychiatry
29325701,cognition,123,,,,,Developmental cognitive neuroscience
29324924,cognition,310,,,,,Hellenic journal of nuclear medicine
29324915,cognition,357,,,,,Hellenic journal of nuclear medicine
29323042,cognition,125,,,,,Neural regeneration research
29322089,cognition,155,,,,,"Alzheimer's & dementia (Amsterdam, Netherlands)"
29322009,cognition,151,,,,,Journal of traditional and complementary medicine
29321826,cognition,522,,,,,European journal of psychotraumatology
29321755,cognition,117,,,,,Frontiers in psychology
29321734,cognition,140,,,,,Frontiers in behavioral neuroscience
29318089,cognition,83,,,,,Geriatric orthopaedic surgery & rehabilitation
29318084,cognition,160,,,,,Geriatric orthopaedic surgery & rehabilitation
29318028,cognition,127,,,,,"Multiple sclerosis journal - experimental, translational and clinical"
29317807,cognition,140,,,,,Clinical interventions in aging
29317078,cognition,184,,,,,Medical hypotheses
29316527,cognition,118,,,,,Neurobiology of aging
29313886,cognition,72,,,,,The British journal of mathematical and statistical psychology
29313802,cognition,154,,,,,Contemporary clinical trials
29312919,cognition,162,,,,,Frontiers in public health
29312112,cognition,153,,,,,Frontiers in neurology
29312108,cognition,145,,,,,Frontiers in neurology
29312097,cognition,110,,,,,Frontiers in psychology
29312092,cognition,159,,,,,Frontiers in psychology
29312078,cognition,171,,,,,Frontiers in psychology
29312077,cognition,100,,,,,Frontiers in psychology
29312068,cognition,87,,,,,Frontiers in psychology
29312065,cognition,125,,,,,Frontiers in psychology
29312062,cognition,113,,,,,Frontiers in psychology
29312057,cognition,92,,,,,Frontiers in psychology
29312051,cognition,130,,,,,Frontiers in psychology
29312045,cognition,123,,,,,Frontiers in psychology
29312041,cognition,150,,,,,Frontiers in psychology
29312039,cognition,78,,,,,Frontiers in psychology
29312037,cognition,131,,,,,Frontiers in psychology
29312020,cognition,143,,,,,Frontiers in psychiatry
29312014,cognition,190,,,,,Frontiers in psychiatry
29311957,cognition,124,,,,,Frontiers in physiology
29311928,cognition,142,,,,,Frontiers in pharmacology
29311912,cognition,153,,,,,Frontiers in pharmacology
29311901,cognition,120,,,,,Frontiers in aging neuroscience
29311865,cognition,115,,,,,Frontiers in behavioral neuroscience
29311861,cognition,127,,,,,Frontiers in integrative neuroscience
29311860,cognition,118,,,,,Frontiers in integrative neuroscience
29311859,cognition,104,,,,,Frontiers in integrative neuroscience
29311844,cognition,97,,,,,Frontiers in neural circuits
29311776,cognition,117,,,,,Frontiers in neuroscience
29310988,cognition,146,,,,,Parkinsonism & related disorders
29310421,cognition,143,,,,,Medicine
29310396,cognition,140,,,,,Medicine
29309971,cognition,158,,,,,Gait & posture
29308355,cognition,124,,,,,Current sleep medicine reports
29308179,cognition,48,,,,,i-Perception
29308177,cognition,139,,,,,i-Perception
29308084,cognition,64,,,,,Interdisciplinary science reviews : ISR
29307995,cognition,127,,,,,World journal of gastroenterology
29307560,cognition,146,,,,,Parkinsonism & related disorders
29306838,cognition,64,,,,,Current opinion in psychology
29306774,cognition,99,,,,,Psychoneuroendocrinology
29306752,cognition,157,,,,,Nurse education today
29306741,cognition,147,,,,,Multiple sclerosis and related disorders
29306740,cognition,161,,,,,Multiple sclerosis and related disorders
29306698,cognition,154,,,,,Journal of affective disorders
29306694,cognition,142,,,,,Journal of affective disorders
29306692,cognition,139,,,,,Journal of affective disorders
29306636,cognition,99,,,,,Parkinsonism & related disorders
29306521,cognition,162,,,,,Cortex; a journal devoted to the study of the nervous system and behavior
29302397,cognition,92,,,,,PeerJ
29300973,cognition,146,,,,,Schizophrenia bulletin
29300914,cognition,123,,,,,"The journals of gerontology. Series A, Biological sciences and medical sciences"
29300849,cognition,146,,,,,"The journals of gerontology. Series A, Biological sciences and medical sciences"
29300812,cognition,121,,,,,Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists
29299389,cognition,85,,,,,Brain and behavior
29299378,cognition,136,,,,,Brain and behavior
29299046,cognition,118,,,,,Clinical practice and epidemiology in mental health : CP & EMH
29299036,cognition,156,,,,,Frontiers in zoology
29298559,cognition,108,,,,,Psychological reports
29298278,cognition,132,,,,,Neuro endocrinology letters
29297265,cognition,150,,,,,International journal of neural systems
29297264,cognition,99,,,,,International journal of neural systems
29296621,cognition,62,,,,,Annals of clinical and translational neurology
29296616,cognition,132,,,,,Annals of clinical and translational neurology
29296497,cognition,51,,,,,Biomedical optics express
29296476,cognition,111,,,,,Biomedical optics express
29296103,cognition,72,,,,,Psychology research and behavior management
29296099,cognition,130,,,,,Clinical epidemiology
29295738,cognition,156,,,,,Biological psychiatry
29295583,cognition,123,,,,,Nutrients
29295405,cognition,36,,,,,Studies in health technology and informatics
29294984,cognition,156,,,,,Journal of interpersonal violence
29294706,cognition,105,,,,,Journal of interpersonal violence
29294692,cognition,151,,,,,Journal of interpersonal violence
29294653,cognition,142,,,,,Journal of interpersonal violence
29294429,cognition,147,,,,,Journal of psychiatric research
29294385,cognition,131,,,,,NeuroImage
29294383,cognition,124,,,,,Neurobiology of learning and memory
29294134,cognition,162,,,,,Sleep
29293900,cognition,99,,,,,Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists
29292761,cognition,213,,,,,"Sensors (Basel, Switzerland)"
29292730,cognition,121,,,,,Brain sciences
29292362,cognition,117,,,,,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences"
29292361,cognition,127,,,,,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences"
29292360,cognition,105,,,,,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences"
29292358,cognition,119,,,,,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences"
29292357,cognition,115,,,,,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences"
29292353,cognition,113,,,,,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences"
29292350,cognition,108,,,,,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences"
29292345,cognition,123,,,,,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences"
29292074,cognition,138,,,,,Neuroscience
29292072,cognition,138,,,,,Neuroscience
29291529,cognition,158,,,,,Cortex; a journal devoted to the study of the nervous system and behavior
29291509,cognition,142,,,,,Addictive behaviors
29291508,cognition,135,,,,,Addictive behaviors
29291439,cognition,104,,,,,European journal of medicinal chemistry
29291374,cognition,73,,,,,Alzheimer's & dementia : the journal of the Alzheimer's Association
29291133,cognition,127,,,,,Journal of obesity
29291074,cognition,97,,,,,Royal Society open science
29291066,cognition,107,,,,,Royal Society open science
29290948,cognition,122,,,,,Oncotarget
29290857,cognition,186,,,,,The open orthopaedics journal
29290557,cognition,110,,,,,Current biology : CB
29290363,cognition,138,,,,,"Nutrition (Burbank, Los Angeles County, Calif.)"
29290020,cognition,109,,,,,Archives of women's mental health
29289798,cognition,126,,,,,Journal of experimental child psychology
29289795,cognition,69,,,,,Cognition
29289794,cognition,75,,,,,Cognition
29289753,cognition,107,,,,,Infant behavior & development
29289347,cognition,76,,,,,Trends in genetics : TIG
29289335,cognition,174,,,,,Cortex; a journal devoted to the study of the nervous system and behavior
29289333,cognition,141,,,,,Biological psychiatry
29289104,cognition,131,,,,,The Journal of the Acoustical Society of America
29288981,cognition,158,,,,,Cognition
29288874,cognition,132,,,,,Neural networks : the official journal of the International Neural Network Society
29288868,cognition,109,,,,,NeuroImage
29288824,cognition,137,,,,,Journal of ethnopharmacology
29288748,cognition,153,,,,,Behavioural brain research
29288735,cognition,144,,,,,Brain research bulletin
29288597,cognition,135,,,,,Glia
29288532,cognition,108,,,,,"Acta paediatrica (Oslo, Norway : 1992)"
29288503,cognition,169,,,,,Neuropathology and applied neurobiology
29288339,cognition,126,,,,,Molecular neurobiology
29288141,cognition,203,,,,,"PM & R : the journal of injury, function, and rehabilitation"
29288130,cognition,114,,,,,NeuroImage
29287892,cognition,84,,,,,Bulletin du cancer
29287793,cognition,128,,,,,Brain research bulletin
29287786,cognition,181,,,,,Epilepsy research
29287750,cognition,105,,,,,Clinical therapeutics
29287694,cognition,121,,,,,Journal of the American Medical Directors Association
29287388,cognition,65,,,,,Food chemistry
29287243,cognition,178,,,,,Cortex; a journal devoted to the study of the nervous system and behavior
29287217,cognition,171,,,,,Epilepsy & behavior : E&B
29287204,cognition,72,,,,,Cognition
29287106,cognition,162,,,,,PloS one
29287081,cognition,89,,,,,PLoS computational biology
29286983,cognition,134,,,,,Journal of geriatric physical therapy (2001)
29286928,cognition,151,,,,,Journal of neonatal-perinatal medicine
29286586,cognition,186,,,,,Autism research : official journal of the International Society for Autism Research
29286511,cognition,438,,,,,Problemy radiatsiinoi medytsyny ta radiobiolohii
29286253,cognition,107,,,,,Ergonomics
29285784,cognition,122,,,,,Journal of advanced nursing
29285653,cognition,129,,,,,Journal of neurology
29285440,cognition,78,,,,,Indian journal of endocrinology and metabolism
29285280,cognition,113,,,,,Oncotarget
29285117,cognition,97,,,,,Experimental and therapeutic medicine
29284994,cognition,136,,,,,Materia socio-medica
29284906,cognition,85,,,,,"Medical archives (Sarajevo, Bosnia and Herzegovina)"
29284747,cognition,154,,,,,Proceedings of the National Academy of Sciences of the United States of America
29284552,cognition,131,,,,,Journal of the International Neuropsychological Society : JINS
29284531,cognition,149,,,,,Alzheimer's research & therapy
29284502,cognition,155,,,,,Journal of neuroinflammation
29284226,cognition,148,,,,,Annals of agricultural and environmental medicine : AAEM
29284138,cognition,125,,,,,Neuropharmacology
29284109,cognition,155,,,,,Behavioural brain research
29284047,cognition,132,,,,,PloS one
29283631,cognition,108,,,,,The American psychologist
29283627,cognition,87,,,,,The American psychologist
29283467,cognition,153,,,,,The European journal of neuroscience
29283465,cognition,131,,,,,The European journal of neuroscience
29283333,cognition,123,,,,,"Journal of environmental pathology, toxicology and oncology : official organ of the International Society for Environmental Toxicology and Cancer"
29283314,cognition,129,,,,,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism
29283237,cognition,119,,,,,Uspekhi fiziologicheskikh nauk
29283204,cognition,146,,,,,The European journal of neuroscience
29283079,cognition,159,,,,,Journal of the International Neuropsychological Society : JINS
29283042,cognition,123,,,,,"The Neuroscientist : a review journal bringing neurobiology, neurology and psychiatry"
29283020,cognition,113,,,,,"The Neuroscientist : a review journal bringing neurobiology, neurology and psychiatry"
29282883,cognition,111,,,,,Journal of biophotonics
29282881,cognition,130,,,,,"Obesity (Silver Spring, Md.)"
29282641,cognition,407,,,,,Neuropsychology review
29282595,cognition,136,,,,,Journal of psycholinguistic research
29282534,cognition,145,,,,,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer
29282410,cognition,132,,,,,Dementia and geriatric cognitive disorders extra
29282231,cognition,121,,,,,The journal of the American Academy of Psychiatry and the Law
29280981,cognition,133,,,,,Toxins
29280598,cognition,14,,,,,Australian nursing & midwifery journal
29280503,cognition,92,,,,,Cognitive science
29280417,cognition,103,,,,,"Memory (Hove, England)"
29280256,cognition,146,,,,,European journal of heart failure
29280115,cognition,113,,,,,Zhonghua wei chang wai ke za zhi = Chinese journal of gastrointestinal surgery
29280107,cognition,209,,,,,Journal of neurovirology
29280030,cognition,127,,,,,European journal of epidemiology
29280019,cognition,120,,,,,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology
29279863,cognition,161,,,,,eNeuro
29279308,cognition,180,,,,,The Journal of neuroscience : the official journal of the Society for Neuroscience
29279164,cognition,126,,,,,European journal of radiology
29279022,cognition,115,,,,,Clinical gerontologist
29278805,cognition,101,,,,,Cognition
29278776,cognition,165,,,,,Behavioural processes
29278717,cognition,128,,,,,Brain research
29278559,cognition,142,,,,,Alzheimer disease and associated disorders
29278549,cognition,94,,,,,Current opinion in neurology
29278291,cognition,142,,,,,Movement disorders : official journal of the Movement Disorder Society
29277645,cognition,138,,,,,NeuroImage
29277553,cognition,168,,,,,Physiology & behavior
29277552,cognition,97,,,,,Annals of epidemiology
29277490,cognition,131,,,,,Neuropharmacology
29277461,cognition,243,,,,,Seminars in arthritis and rheumatism
29277405,cognition,124,,,,,NeuroImage
29277402,cognition,158,,,,,NeuroImage
29277400,cognition,122,,,,,NeuroImage
29277357,cognition,151,,,,,Neurophysiologie clinique = Clinical neurophysiology
29277105,cognition,122,,,,,The International journal of social psychiatry
29276708,cognition,188,,,,,Frontiers in medicine
29276649,cognition,145,,,,,"Tremor and other hyperkinetic movements (New York, N.Y.)"
29276530,cognition,146,,,,,Research in autism spectrum disorders
29276488,cognition,194,,,,,Frontiers in aging neuroscience
29276483,cognition,167,,,,,Frontiers in human neuroscience
29276055,cognition,103,,,,,Neuron
29276006,cognition,150,,,,,American journal of human genetics
29275903,cognition,123,,,,,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry
29275855,cognition,142,,,,,Schizophrenia research
